EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 07-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104894) of FRANCE, MARSEILLE OBS. PALAIS-LONCHAMP (STAID: 31)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
    31,104894,18820504,   78,    0
    31,104894,18820505,    0,    0
    31,104894,18820506,    0,    0
    31,104894,18820507,    0,    0
    31,104894,18820508,    0,    0
    31,104894,18820509,    0,    0
    31,104894,18820510,    0,    0
    31,104894,18820511,    0,    0
    31,104894,18820512,    0,    0
    31,104894,18820513,    0,    0
    31,104894,18820514,    0,    0
    31,104894,18820515,    0,    0
    31,104894,18820516,    0,    0
    31,104894,18820517,    0,    0
    31,104894,18820518,    0,    0
    31,104894,18820519,   14,    0
    31,104894,18820520,   10,    0
    31,104894,18820521,    0,    0
    31,104894,18820522,    0,    0
    31,104894,18820523,    3,    0
    31,104894,18820524,   55,    0
    31,104894,18820525,    0,    0
    31,104894,18820526,    0,    0
    31,104894,18820527,    0,    0
    31,104894,18820528,    0,    0
    31,104894,18820529,    0,    0
    31,104894,18820530,    0,    0
    31,104894,18820531,    0,    0
    31,104894,18820601,    0,    0
    31,104894,18820602,    0,    0
    31,104894,18820603,    0,    0
    31,104894,18820604,    0,    0
    31,104894,18820605,    0,    0
    31,104894,18820606,    0,    0
    31,104894,18820607,    2,    0
    31,104894,18820608,    0,    0
    31,104894,18820609,    0,    0
    31,104894,18820610,    0,    0
    31,104894,18820611,    0,    0
    31,104894,18820612,    0,    0
    31,104894,18820613,    0,    0
    31,104894,18820614,    0,    0
    31,104894,18820615,    0,    0
    31,104894,18820616,    0,    0
    31,104894,18820617,    0,    0
    31,104894,18820618,    0,    0
    31,104894,18820619,    0,    0
    31,104894,18820620,    0,    0
    31,104894,18820621,    0,    0
    31,104894,18820622,    0,    0
    31,104894,18820623,    0,    0
    31,104894,18820624,    0,    0
    31,104894,18820625,    0,    0
    31,104894,18820626,    0,    0
    31,104894,18820627,    0,    0
    31,104894,18820628,    0,    0
    31,104894,18820629,    0,    0
    31,104894,18820630,    0,    0
    31,104894,18820701,    0,    0
    31,104894,18820702,    0,    0
    31,104894,18820703,    0,    0
    31,104894,18820704,    0,    0
    31,104894,18820705,    0,    0
    31,104894,18820706,    0,    0
    31,104894,18820707,    2,    0
    31,104894,18820708,    0,    0
    31,104894,18820709,   76,    0
    31,104894,18820710,    0,    0
    31,104894,18820711,   46,    0
    31,104894,18820712,    0,    0
    31,104894,18820713,    0,    0
    31,104894,18820714,    0,    0
    31,104894,18820715,    0,    0
    31,104894,18820716,   36,    0
    31,104894,18820717,    0,    0
    31,104894,18820718,    0,    0
    31,104894,18820719,    0,    0
    31,104894,18820720,    0,    0
    31,104894,18820721,    0,    0
    31,104894,18820722,    0,    0
    31,104894,18820723,    0,    0
    31,104894,18820724,    0,    0
    31,104894,18820725,    0,    0
    31,104894,18820726,    0,    0
    31,104894,18820727,    0,    0
    31,104894,18820728,    0,    0
    31,104894,18820729,    0,    0
    31,104894,18820730,    0,    0
    31,104894,18820731,    0,    0
    31,104894,18820801,    0,    0
    31,104894,18820802,    0,    0
    31,104894,18820803,    0,    0
    31,104894,18820804,    0,    0
    31,104894,18820805,    0,    0
    31,104894,18820806,    0,    0
    31,104894,18820807,    0,    0
    31,104894,18820808,    0,    0
    31,104894,18820809,    0,    0
    31,104894,18820810,    0,    0
    31,104894,18820811,    0,    0
    31,104894,18820812,    0,    0
    31,104894,18820813,    3,    0
    31,104894,18820814,    0,    0
    31,104894,18820815,    0,    0
    31,104894,18820816,    0,    0
    31,104894,18820817,    0,    0
    31,104894,18820818,    0,    0
    31,104894,18820819,    0,    0
    31,104894,18820820,    0,    0
    31,104894,18820821,    0,    0
    31,104894,18820822,    0,    0
    31,104894,18820823,    0,    0
    31,104894,18820824,   56,    0
    31,104894,18820825,    0,    0
    31,104894,18820826,    4,    0
    31,104894,18820827,    0,    0
    31,104894,18820828,    0,    0
    31,104894,18820829,    0,    0
    31,104894,18820830,    0,    0
    31,104894,18820831,    0,    0
    31,104894,18820901,    0,    0
    31,104894,18820902,    0,    0
    31,104894,18820903,    0,    0
    31,104894,18820904,  144,    0
    31,104894,18820905,   10,    0
    31,104894,18820906,    0,    0
    31,104894,18820907,    0,    0
    31,104894,18820908,    8,    0
    31,104894,18820909,   15,    0
    31,104894,18820910,  150,    0
    31,104894,18820911,  100,    0
    31,104894,18820912,  186,    0
    31,104894,18820913,   10,    0
    31,104894,18820914,  139,    0
    31,104894,18820915,   10,    0
    31,104894,18820916,    0,    0
    31,104894,18820917,    0,    0
    31,104894,18820918,    0,    0
    31,104894,18820919,  141,    0
    31,104894,18820920,   52,    0
    31,104894,18820921,    0,    0
    31,104894,18820922,   16,    0
    31,104894,18820923,    0,    0
    31,104894,18820924,    0,    0
    31,104894,18820925,   39,    0
    31,104894,18820926,    0,    0
    31,104894,18820927,    0,    0
    31,104894,18820928,    0,    0
    31,104894,18820929,    0,    0
    31,104894,18820930,    0,    0
    31,104894,18821001,    0,    0
    31,104894,18821002,    0,    0
    31,104894,18821003,    0,    0
    31,104894,18821004,    0,    0
    31,104894,18821005,   48,    0
    31,104894,18821006,   26,    0
    31,104894,18821007,    0,    0
    31,104894,18821008,    0,    0
    31,104894,18821009,    0,    0
    31,104894,18821010,    0,    0
    31,104894,18821011,    0,    0
    31,104894,18821012,   11,    0
    31,104894,18821013,    0,    0
    31,104894,18821014,  303,    0
    31,104894,18821015,    0,    0
    31,104894,18821016,   19,    0
    31,104894,18821017,    0,    0
    31,104894,18821018,    0,    0
    31,104894,18821019,    0,    0
    31,104894,18821020,   77,    0
    31,104894,18821021,    0,    0
    31,104894,18821022,    4,    0
    31,104894,18821023,    0,    0
    31,104894,18821024,   19,    0
    31,104894,18821025,   84,    0
    31,104894,18821026,    0,    0
    31,104894,18821027,  658,    0
    31,104894,18821028,    0,    0
    31,104894,18821029,    0,    0
    31,104894,18821030,    0,    0
    31,104894,18821031,    0,    0
    31,104894,18821101,    0,    0
    31,104894,18821102,    0,    0
    31,104894,18821103,    0,    0
    31,104894,18821104,    0,    0
    31,104894,18821105,    0,    0
    31,104894,18821106,    0,    0
    31,104894,18821107,    0,    0
    31,104894,18821108,    0,    0
    31,104894,18821109,    0,    0
    31,104894,18821110,    0,    0
    31,104894,18821111,    0,    0
    31,104894,18821112,    0,    0
    31,104894,18821113,    0,    0
    31,104894,18821114,   20,    0
    31,104894,18821115,    0,    0
    31,104894,18821116,    7,    0
    31,104894,18821117,    0,    0
    31,104894,18821118,    0,    0
    31,104894,18821119,    8,    0
    31,104894,18821120,    8,    0
    31,104894,18821121,    0,    0
    31,104894,18821122,    0,    0
    31,104894,18821123,    0,    0
    31,104894,18821124,    0,    0
    31,104894,18821125,    0,    0
    31,104894,18821126,    0,    0
    31,104894,18821127,    0,    0
    31,104894,18821128,    0,    0
    31,104894,18821129,   75,    0
    31,104894,18821130,    0,    0
    31,104894,18821201,    0,    0
    31,104894,18821202,    0,    0
    31,104894,18821203,    2,    0
    31,104894,18821204,  216,    0
    31,104894,18821205,   10,    0
    31,104894,18821206,   48,    0
    31,104894,18821207,   22,    0
    31,104894,18821208,    0,    0
    31,104894,18821209,  567,    0
    31,104894,18821210,    6,    0
    31,104894,18821211,    0,    0
    31,104894,18821212,   38,    0
    31,104894,18821213,  201,    0
    31,104894,18821214,    3,    0
    31,104894,18821215,   15,    0
    31,104894,18821216,    6,    0
    31,104894,18821217,    0,    0
    31,104894,18821218,    2,    0
    31,104894,18821219,    2,    0
    31,104894,18821220,    0,    0
    31,104894,18821221,    0,    0
    31,104894,18821222,    4,    0
    31,104894,18821223,    0,    0
    31,104894,18821224,    0,    0
    31,104894,18821225,    0,    0
    31,104894,18821226,    0,    0
    31,104894,18821227,    0,    0
    31,104894,18821228,    0,    0
    31,104894,18821229,    0,    0
    31,104894,18821230,    0,    0
    31,104894,18821231,    0,    0
    31,104894,18830101,    0,    0
    31,104894,18830102,    0,    0
    31,104894,18830103,    0,    0
    31,104894,18830104,    0,    0
    31,104894,18830105,    0,    0
    31,104894,18830106,    0,    0
    31,104894,18830107,    0,    0
    31,104894,18830108,   76,    0
    31,104894,18830109,   83,    0
    31,104894,18830110,  199,    0
    31,104894,18830111,   44,    0
    31,104894,18830112,   74,    0
    31,104894,18830113,  174,    0
    31,104894,18830114,   91,    0
    31,104894,18830115,   86,    0
    31,104894,18830116,    0,    0
    31,104894,18830117,    0,    0
    31,104894,18830118,    0,    0
    31,104894,18830119,    0,    0
    31,104894,18830120,    0,    0
    31,104894,18830121,    0,    0
    31,104894,18830122,    0,    0
    31,104894,18830123,    4,    0
    31,104894,18830124,    0,    0
    31,104894,18830125,    1,    0
    31,104894,18830126,    8,    0
    31,104894,18830127,    0,    0
    31,104894,18830128,    3,    0
    31,104894,18830129,    0,    0
    31,104894,18830130,   16,    0
    31,104894,18830131,  386,    0
    31,104894,18830201,    0,    0
    31,104894,18830202,    0,    0
    31,104894,18830203,    0,    0
    31,104894,18830204,   20,    0
